"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"127","luparc","Lupinus sp.","Forb",12,80,"Murphy",-7.41498243840619,3.02373419118175,2.31486316202432,-0.35963705874156,-1.36861504326465,0.354397650663891,0.313900863812845
"herlan_00006","herlan","Heracleum lanatum","Forb",8,80,"Yukon_Delta",-7.73873415589924,2.73262256276843,1.65178657460077,0.314637423492998,-0.494322890484237,0.509608416033306,-0.205349156438307
"herlan_00006","herlan","Heracleum lanatum","Forb",8,80,"Yukon_Delta",-7.73873415589924,2.73262256276843,1.65178657460077,0.314637423492998,-0.494322890484237,0.509608416033306,-0.205349156438307
"240","toefeldia","Toefeldia sp.","Forb",5,80,"Murphy",11.201739541675,-4.28323661310245,-1.36489604110376,-1.34179942222024,0.132483524729277,-0.208830395794593,0.216514223225309
"136","luparc","Lupinus sp.","Forb",12,80,"Murphy",-1.66178901563624,5.10881994668845,1.44512313520493,0.814267281649773,-0.972640520837366,0.286973581108779,-0.0241152094298703
"174","petfri","Petasites frigida","Forb",8,80,"Murphy",-3.48771056018551,5.48926567158151,0.651037663253857,1.49081115254002,0.252706722886352,0.268226871602722,-0.14585412817756
"127","luparc","Lupinus sp.","Forb",12,80,"Murphy",-7.41498243840619,3.02373419118175,2.31486316202432,-0.35963705874156,-1.36861504326465,0.354397650663891,0.313900863812845
"243","toefeldia","Toefeldia sp.","Forb",5,80,"Murphy",-2.12149920427464,-10.5288434339305,-0.859110434041395,-0.908903850078098,0.233447597508779,-0.188400895935273,0.111541951628233
"240","toefeldia","Toefeldia sp.","Forb",5,80,"Murphy",11.201739541675,-4.28323661310245,-1.36489604110376,-1.34179942222024,0.132483524729277,-0.208830395794593,0.216514223225309
"carlin_00001","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",2.56164984151078,0.681678810038841,-1.70506327580354,3.34267747039658,0.926419979346439,-0.30708557339018,0.515166603961678
"erivag_Brooks003","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",-3.42564705094717,0.332415796026389,-1.81827145031243,-2.02627309045745,-0.360648229559437,-0.336873867280678,0.334093081918444
"carlin_00006","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.97401206057457,-0.304433535932456,0.0940921463338768,1.97143280516474,0.684260544211477,-0.136499793735445,0.113132958203396
"erivag_Brooks007","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",1.06949924829957,7.40271855982858,-1.04201732756957,-2.46652739874087,-0.737691666311221,-0.619413539967566,0.499732060644338
"carlin_00003","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.32884536245008,2.23790004923915,0.547857584912356,2.3250970347126,0.258879710407615,-0.153063237014505,0.115775817438708
"carlin_00006","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.97401206057457,-0.304433535932456,0.0940921463338768,1.97143280516474,0.684260544211477,-0.136499793735445,0.113132958203396
"carram_00004","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",2.3517984101623,4.77249260371144,-2.08157425763607,0.9874085624828,0.950773795447912,-0.0972064508184005,0.477632775986088
"carlin_00006","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",3.97401206057457,-0.304433535932456,0.0940921463338768,1.97143280516474,0.684260544211477,-0.136499793735445,0.113132958203396
"carlin_00007","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",0.447231459055181,-1.3957938207279,0.508782916393968,2.18380448466233,0.562686590557802,-0.16197727007284,0.159246870338845
"erivag_Brooks004","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",6.56412014268408,8.90204272932099,-2.31568366052254,-2.53048029456501,-0.386109712858758,-0.210526956560821,0.317542704892703
"erivag_Brooks008","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",1.71239980632267,8.42769157343197,-0.938233529440279,-2.37037751173435,-0.664449673459046,-0.70471180194578,0.378332564733199
"erivag_Brooks002","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",2.78134893293952,3.27415719829367,-2.67027851229866,-2.20980754731067,-0.290803694708465,0.0802883971231088,0.267805779564375
"calcan_00001","calcan","Calamogrostis sp.","Graminoid",4,30,"Yukon_Delta",-6.36170112554381,-1.01455636198712,1.3234774802734,1.10175336123948,-0.0680178546205216,0.0859616754251918,-0.140048078972392
"calcan_00001","calcan","Calamogrostis sp.","Graminoid",4,30,"Yukon_Delta",-6.36170112554381,-1.01455636198712,1.3234774802734,1.10175336123948,-0.0680178546205216,0.0859616754251918,-0.140048078972392
"carlin_00007","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",0.447231459055181,-1.3957938207279,0.508782916393968,2.18380448466233,0.562686590557802,-0.16197727007284,0.159246870338845
"carlin_00007","carlin","Carex sp.","Graminoid",16,30,"Yukon_Delta",0.447231459055181,-1.3957938207279,0.508782916393968,2.18380448466233,0.562686590557802,-0.16197727007284,0.159246870338845
"erivag_Brooks004","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",6.56412014268408,8.90204272932099,-2.31568366052254,-2.53048029456501,-0.386109712858758,-0.210526956560821,0.317542704892703
"carram_00002","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",11.3701686505109,11.6365250253984,-1.53190726427534,-1.39386368294922,0.687150430572914,-0.75804652407082,0.722144040977587
"carram_00003","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",10.7475295476299,10.2429425600044,-2.27057878230998,-1.37483541690947,1.00442214989348,-0.516800694733203,0.616420884100076
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",-6.72576963483125,-5.07181374424997,0.537079593510833,1.22575676049649,0.392607151756032,-0.292455142107737,0.00454244239699987
"erivag_Brooks002","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",2.78134893293952,3.27415719829367,-2.67027851229866,-2.20980754731067,-0.290803694708465,0.0802883971231088,0.267805779564375
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,30,"Yukon_Delta",-6.72576963483125,-5.07181374424997,0.537079593510833,1.22575676049649,0.392607151756032,-0.292455142107737,0.00454244239699987
"carram_00002","carram","Carex sp.","Graminoid",16,30,"Yukon_Delta",11.3701686505109,11.6365250253984,-1.53190726427534,-1.39386368294922,0.687150430572914,-0.75804652407082,0.722144040977587
"erivag_Brooks008","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",1.71239980632267,8.42769157343197,-0.938233529440279,-2.37037751173435,-0.664449673459046,-0.70471180194578,0.378332564733199
"erivag_Brooks004","erivag","Eriophorum vaginatum","Graminoid",10,30,"Brooks_Range",6.56412014268408,8.90204272932099,-2.31568366052254,-2.53048029456501,-0.386109712858758,-0.210526956560821,0.317542704892703
"clasty_Brooks001","clasty","Cladonia stygia","Lichen",18,464,"Brooks_Range",-4.47507042511627,-5.74494423321767,-1.78854380767592,-1.63417525383242,0.759321534637186,0.672075666180633,-0.12187153979944
"78","usnsca","Usnea scabrata","Lichen",12,464,"Big Trail",2.59519544553087,-6.19775795674582,-2.99396087590812,-0.362440709601821,-1.16448173826661,-1.06766933861527,-0.554303965215033
"67","clamit","Cladonia mitis","Lichen",17,464,"Murphy",-7.08565871009427,-12.8364434750367,-1.82941101034013,0.812832011010978,-1.46170230090689,-0.211689560755158,-0.593139336293982
"79","parsul","Parmelis sulcata","Lichen",12,464,"Murphy",26.9707319678144,-12.8115116796136,1.78355956007616,0.835515706204062,1.19462450338514,-0.173603985535144,-0.0866125840758146
"6","aleoch","Alectoria ochroleuca","Lichen",6,464,"Murphy",-7.37962267570482,-11.3595388161489,-2.80366265370837,0.574053920859874,-1.56123625632976,-0.0810892111788397,-0.43893098693107
"60","hypaus","Hypogymnia austerodes","Lichen",13,464,"Murphy",11.1744221684032,7.99396943164318,-3.243266979723,-3.66785801320694,1.73437794096086,-0.525953925393496,-0.40385957618938
"flaniv_Brooks001","flaniv","Flavocetraria nivalis","Lichen",19,464,"Brooks_Range",-3.70492511890753,-12.1966711923896,-3.97683198789554,0.977476510804181,-2.58585594185896,-0.488358148714064,-0.772795846194764
"61","clamit","Cladonia mitis","Lichen",17,464,"Murphy",5.86459226394703,-9.33823020129794,-3.59633697695904,0.177774357598724,-2.0833734790143,-0.212467852754892,-0.746492140116529
