"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"113","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.064894,0.10866,0.072464,0.789728,0.497333,0.324017
"96","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.066113,0.108616,0.085464,0.727261,0.369539,0.214112
"78","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub",43,971,992,"Wickersham B",0.078888,0.117996,0.084941,0.764468,0.446646,0.27017
"123","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub",3,971,992,"Murphy",0.087349,0.187507,0.191502,0.647437,0.323822,0.209198
"125","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub",3,971,992,"Murphy",0.036319,0.05161,0.050768,0.349445,0.144709,0.083628
"124","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub",3,971,992,"Murphy",0.045287,0.078711,0.071534,0.592042,0.184322,0.09709
"rubcha_Beth001","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.032459,0.04214,0.037673,0.464022,0.240777,0.135866
"rubcha_Brooks002","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Brooks_Range",0.04743,0.074316,0.05917,0.457642,0.254349,0.155081
"rubcha_Beth004","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.040458,0.040901,0.052891,0.468683,0.253322,0.149206
"rubcha_Brooks004","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Brooks_Range",0.050268,0.067379,0.060334,0.448627,0.239213,0.144568
"rubcam_Beth002","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.041243,0.052385,0.049808,0.427691,0.215307,0.124223
"rubcha_Beth002","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.038328,0.03688,0.050639,0.468494,0.247851,0.146629
"rubcha_Beth003","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.04295,0.060466,0.054091,0.513106,0.243014,0.14415
"rubcha_Brooks003","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Brooks_Range",0.043278,0.062934,0.055737,0.440388,0.236296,0.143677
"rubcha_Brooks001","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Brooks_Range",0.043988,0.066216,0.053282,0.453986,0.240372,0.143762
"rubcam_Beth001","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.036588,0.049846,0.044334,0.441587,0.236875,0.136891
"rubcam_Beth004","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.030669,0.046284,0.037217,0.426168,0.216254,0.122862
"rubcam_Beth003","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub",12,971,992,"Bethel",0.049818,0.06769,0.056904,0.459865,0.25473,0.15586
"64","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.069578,0.089618,0.064945,0.528359,0.302609,0.189373
"71","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.075037,0.094589,0.087354,0.573929,0.326154,0.209391
"66","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.07232,0.097217,0.079102,0.613568,0.340746,0.212696
"70","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.070815,0.094001,0.079601,0.568621,0.333589,0.218058
"73","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.075152,0.100433,0.070932,0.707934,0.355741,0.213799
"65","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.069833,0.087387,0.069663,0.685695,0.345464,0.204322
"69","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub",10,971,992,"12mile",0.064792,0.084538,0.077749,0.387455,0.229855,0.156765
