"ScanID","PFT","PFT_2","PFT_3","PFT_4","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"98","hylspl","Hylocomium splendens","Moss_Pleurocarp","Moss",13,23,90,"Murphy",0.400339690610086,-0.627585912850687,-0.0649057334030651,-0.665387790596334,0.185744992793599,0.275003376655317
"plisch_AK2018_04","plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss",4,23,90,"AK2018",0.370817120622568,-0.507411704982232,-0.023347711275878,-0.524545180912648,0.162738791150393,0.187045501420464
"plisch_AK2018_03","plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss",4,23,90,"AK2018",0.486745714837281,-0.589664200588817,0.0795057174474364,-0.535251993306428,0.297794688271892,0.293890301239706
"plisch_AK2018_01","plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss",4,23,90,"AK2018",0.319437555722575,-0.458954947680092,-0.0524664245475563,-0.499396052549654,0.124808691005494,0.171519796200256
"plisch_AK2018_02","plesch","Pleurozium schreberi","Moss_Pleurocarp","Moss",4,23,90,"AK2018",0.40184184096552,-0.590486832484929,-0.00626617180860508,-0.594553103146853,0.191068392050233,0.238710355908047
"raclan_Brooks003","raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss",4,23,90,"Brooks_Range",0.253372086662211,-0.341001570122378,0.0458415531113431,-0.29984724156111,0.24890150779017,0.192989709099631
"raclan_Brooks001","raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss",4,23,90,"Brooks_Range",0.318314086740393,-0.434623883178019,0.0404849511323834,-0.401198307810916,0.267214340034009,0.174712260664498
"raclan_Brooks004","raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss",4,23,90,"Brooks_Range",0.326313135364973,-0.428401446609971,0.0216685029804786,-0.410543948392747,0.255234082986058,0.240034194490438
"raclan_Brooks002","raclan","Racomitrium lanoiginosum","Moss_Pleurocarp","Moss",4,23,90,"Brooks_Range",0.293207013561173,-0.399779573653115,0.0209126727898059,-0.382061107243265,0.250450774502073,0.211861807635633
"244","tomnit","Tomenthypnum nitens","Moss_Pleurocarp","Moss",2,23,90,"Murphy",0.298190302036698,-0.445397423446404,-0.0199490647707064,-0.461248177292228,0.155900977313651,0.227696114453128
"245","tomnit","Tomenthypnum nitens","Moss_Pleurocarp","Moss",2,23,90,"Murphy",0.383275576810688,-0.577182704016631,-0.0496199610912546,-0.609350984936018,0.201243059613608,0.248933373714682
"sphagn_AK2018_01","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.605904407748998,-0.835205099525601,0.0955703588192508,-0.803794284569256,0.251794620980115,0.519193845602141
"sphagn_AK2018_02","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.530995504430777,-0.804175925291463,0.0648848213821434,-0.779990057936714,0.227716361717944,0.426357602536856
"sphagn_AK2018_03","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.492228344864737,-0.789561385523151,0.0629260593431256,-0.764624941529356,0.238119041507361,0.427717177662528
"sphagn_AK2018_04","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.496250832673837,-0.70116906824096,0.0500883065128384,-0.674779259815893,0.22076224865521,0.376276328823864
"sphagn_AK2018_05","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.427225997517113,-0.622107255377502,-0.053374051556943,-0.653773171041941,0.111988144511107,0.258158629123149
"sphagn_AK2018_06","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.455616932837454,-0.634759641593022,0.00891002626728185,-0.629409381751703,0.189652089696789,0.287778192639182
"sphagn_AK2018_07","sphagn","Sphagnum sp.","Moss_Sphagnum","Moss",8,12,90,"AK2018",0.395439536961504,-0.61420026026501,0.0123752666014348,-0.606434436299227,0.158112604131741,0.293141956061247
