"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","450","520","630","770","1550","2090"
"5","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.132345,0.199847,0.226958,0.327614,0.292951,0.201222
"1","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.077827,0.117794,0.151075,0.233969,0.263944,0.182604
"4","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.117337,0.181912,0.214351,0.307715,0.268568,0.172872
"2","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.098835,0.134219,0.146669,0.228957,0.215876,0.156193
"6","aleoch","Alectoria ochroleuca","Lichen_Yellow","Lichen","yellow","lich_fr",0,6,206,464,"Murphy",0.102612,0.159888,0.191465,0.279912,0.262131,0.176668
"arccen_Brooks004","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.248017,0.319431,0.326307,0.479537,0.426817,0.325701
"arccen_Brooks002","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.190541,0.254641,0.277828,0.386753,0.392053,0.29032
"arccen_Brooks001","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.246325,0.341038,0.356888,0.517597,0.455273,0.333369
"arccen_Brooks003","arccen","Arctocetraria centrifuga","Lichen_Yellow","Lichen","yellow","lich_fo",0,4,206,464,"Brooks_Range",0.195767,0.243908,0.257622,0.353281,0.396078,0.303805
"asachr_Brooks003","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"Brooks_Range",0.121072,0.151777,0.187779,0.276824,0.231095,0.164661
"asachr_Brooks004","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"Brooks_Range",0.226521,0.313398,0.363293,0.434923,0.400923,0.306442
"6","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.337854,0.43415,0.479501,0.564357,0.48143,0.343298
"11","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.202403,0.260306,0.304438,0.389733,0.379008,0.253423
"10","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.440143,0.533746,0.585104,0.698714,0.601532,0.42831
"15","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.33876,0.377646,0.429733,0.569553,0.460531,0.33147
"12","asachr","Asahinea chrysantha","Lichen_Yellow","Lichen","yellow","lich_fo",0,19,206,464,"12mile",0.434581,0.565525,0.623879,0.741605,0.653709,0.484136
