"ScanID","PFT","PFT_2.x","PFT_3.x","PFT_4","color","veg_lifeform_code","group","Freq1","Freq2","Freq3","area","NDVI","NDWI","NDMI","NDSI","NBR","EVI"
"60","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"Murphy",0.458378503407931,-0.648383093153141,-0.0443173915759228,-0.673351953741674,0.129695571147434,0.399021604879541
"hypaus_AK2018_03","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"AK2018",0.366861199208614,-0.515156190591645,-0.51946411001613,-0.816200769555354,-0.487233328360436,0.150721625734921
"hypaus_AK2018_02","hypaus","Hypogymnia austerodes","Lichen_Dark","Lichen","brown","lich_fr",0,13,173,464,"AK2018",0.546094192423957,-0.740557125931187,-0.338311183119135,-0.862722808574087,-0.182849661197167,0.341734581529876
"pelmal_AK2018_03","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.480281249485419,-0.494858744647619,-0.0995761681133042,-0.566519042498433,0.041391054527762,0.65494053154473
"pelmal_AK2018_02","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.510297530738214,-0.628036328764032,-0.0379949366751055,-0.650508696470264,0.120695245621222,0.504315742900209
"pelmal_AK2018_01","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.246430566586987,-0.329511229176266,-0.153305688050027,-0.459599798744988,-0.03563825825143,0.252879841680203
"pelmal_AK2018_04","pelmal","Peltigera malacea","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.442574694716523,-0.501430403719551,-0.024458803997526,-0.519517641804377,0.119884078984738,0.519296859312838
"99","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.739303010434484,-0.77938938308536,0.199076079748906,-0.686889565468376,0.440634373493768,0.717129373917717
"100","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.80541604924766,-0.803212537263769,0.278090678682061,-0.676150933680965,0.509465338796144,0.938152232682883
"101","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.79407334508823,-0.804424721581825,0.259401407200653,-0.688742446320193,0.497189409182784,0.883105748870185
"98","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.791953643225659,-0.768648380656709,0.315586365552121,-0.598160853552582,0.546844652989904,0.859339641097866
"97","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.721354834922472,-0.82932206863977,0.170014455150274,-0.767526322561537,0.428490701807862,0.639523766332058
"95","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.680188504151772,-0.796729516330845,0.182084840961046,-0.718943512689063,0.410480797999356,0.6736254535603
"96","pelsca","Peltigera scabrata","Lichen_Dark","Lichen","greengray","lich_fo",0,7,173,464,"Murphy",0.733046098176159,-0.803496947590463,0.261315790942011,-0.6862761082056,0.491324781701161,0.692304684784875
"pelleu_AK2018_04","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.367221678093373,-0.450384927467395,-0.114625564409365,-0.53727341520817,-0.0161576317205534,0.344342091260684
"pelleu_AK2018_01","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.382470287550716,-0.545101277779978,-0.101832438066574,-0.612911610116737,0.0099618312613924,0.301752765440348
"pelleu_AK2018_03","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.391976209771027,-0.397643323942856,-0.0228882321654944,-0.41673867047733,0.120028328514506,0.445402108183672
"pelleu_AK2018_02","pelleu","Peltigers leucophlebia","Lichen_Dark","Lichen","greengray","lich_fo",0,4,173,464,"AK2018",0.386015083548067,-0.519658982324496,-0.136401675607314,-0.612635603058324,-0.0346782002283414,0.294726459992891
"umbarc_Brooks003","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.288617734955297,-0.362555233587266,-0.699778700980534,-0.847353267166321,-0.694993953766862,0.0558380846685293
"umbarc_Brooks001","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.318767046060551,-0.387140201294955,-0.611867477443542,-0.807684570508952,-0.5747436483253,0.0504098131552722
"umbarc_Brooks002","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.303196091404143,-0.365243122200896,-0.680253484633275,-0.837430402173876,-0.656605481518733,0.0576962094825161
"umbarc_Brooks004","umbarc","Umbilicaria arctica","Lichen_Dark","Lichen","brown","lich_fo",0,4,173,464,"Brooks_Range",0.403100178692043,-0.51105381888495,-0.651606438491684,-0.872209347377743,-0.609818494795456,0.107599937375819
"247","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.203551912568306,-0.240845070422535,-0.711334645639522,-0.812910684676939,-0.690034723255921,0.0472207527529187
"53","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.425623811834329,-0.528414517669532,-0.510398312886368,-0.818154913598921,-0.434113936240413,0.121285381608432
"59","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.376079896070153,-0.456134170754968,-0.602368735321513,-0.830354032106772,-0.545858198256619,0.107716028567375
"56","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.346641897949187,-0.395764083798722,-0.598712204042401,-0.803975312785516,-0.570026882910319,0.0908172120493644
"62","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.291025318203602,-0.353100923679394,-0.590703782865089,-0.78092160079342,-0.529707306103609,0.085592614606048
"249","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.266185211222599,-0.314897570903942,-0.608259789221147,-0.774760162631192,-0.563254793755534,0.060404806472572
"248","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"Murphy",0.25281907403227,-0.294941167320363,-0.620613549655594,-0.773897117772607,-0.584056931373284,0.0572680423918411
"63","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.318714928466711,-0.367182484047223,-0.635232878053214,-0.812826514951866,-0.582943957919476,0.0619377694641737
"60","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.366790059445577,-0.429605619947281,-0.614195713512612,-0.825882407293335,-0.555163117060479,0.0735420688001176
"61","umbhyp","Umbilicaria hyperborea","Lichen_Dark","Lichen","brown","lich_fo",0,15,173,464,"12mile",0.31189457084929,-0.352321018043332,-0.672115917875552,-0.828295980275369,-0.627363968812089,0.0682823619926909
"icmeri_Beth005","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.179688961447545,-0.273890877037534,0.165154988956354,-0.113887527137755,0.319536103003679,0.21119374308867
"icmeri_Beth004","icmeri","Icmadophila ericetorum","Lichen_Light","Lichen","green","lich_cr",0,8,90,464,"Bethel",0.21292773919883,-0.271529542362876,0.253758232997792,-0.0190864180996961,0.406522798029976,0.296344901362833
