"","Functional_group1","Wavelength","Median_Diff","Pct_12_5_Diff","Pct_87_5_Diff"
"3019","ShrubDecid",406,0.0310833358083547,-0.0030736346962723,0.0257689722834743
"3020","ShrubDecid",407,0.0292256346754094,-0.0031071789517258,0.0240060547037851
"3021","ShrubDecid",408,0.0285350686345192,-0.0028427417985633,0.0237482143801116
"3022","ShrubDecid",409,0.0286693988756444,-0.0029247654447537,0.024471128113169
"3023","ShrubDecid",410,0.0287511942124352,-0.0027922376582566,0.0250696799558689
"3024","ShrubDecid",411,0.0284601786028314,-0.002436445319997,0.0255415296080242
"3025","ShrubDecid",412,0.0280644069303411,-0.0022954928331491,0.0251587746498389
"3026","ShrubDecid",413,0.0272546127612467,-0.0021792524212793,0.0251223724656357
"3027","ShrubDecid",414,0.0262177837335699,-0.0020172383651226,0.0236661943849198
"3028","ShrubDecid",415,0.0251307141321239,-0.0019764596690425,0.0218232887556858
"3029","ShrubDecid",416,0.0239306377060052,-0.0020181901852162,0.0206377359892595
"3030","ShrubDecid",417,0.0224642017215883,-0.0019143027488998,0.0193416087864707
"3031","ShrubDecid",418,0.0211886859976016,-0.0018251475873026,0.0180182515536301
"3032","ShrubDecid",419,0.0202969287059259,-0.0019404438468643,0.018226757785361
"3033","ShrubDecid",420,0.0197567839781035,-0.001725753188935,0.0185427076889906
"3034","ShrubDecid",421,0.0193491962753111,-0.0016059301175484,0.0184966391423683
"3035","ShrubDecid",422,0.0191846178227399,-0.0015072773887448,0.0188718630408566
"3036","ShrubDecid",423,0.0192732409947617,-0.001450841022954,0.0186149382255215
"3037","ShrubDecid",424,0.0196368593508522,-0.0014969706986335,0.018340039014906
"3038","ShrubDecid",425,0.0201140500139868,-0.0017000534503762,0.0189228488988295
"3039","ShrubDecid",426,0.0205424425980819,-0.0014292557627148,0.0198520898564644
"3040","ShrubDecid",427,0.0214145158266475,-0.0013993444571346,0.0207120016383244
"3041","ShrubDecid",428,0.0217613812215919,-0.0016553101115499,0.0211326666285492
"3042","ShrubDecid",429,0.0216632678223984,-0.0014709347657042,0.0214092005802228
"3043","ShrubDecid",430,0.0217914509165287,-0.0012283032915252,0.0218993676810488
"3044","ShrubDecid",431,0.0219818845747887,-0.0010851633577702,0.02213868457153
"3045","ShrubDecid",432,0.021609152080093,-0.000953880067360701,0.0221787047232158
"3046","ShrubDecid",433,0.0213933700386828,-0.0008770734679606,0.0219213674447325
"3047","ShrubDecid",434,0.020848094751684,-0.000849466026223902,0.0214266250485394
"3048","ShrubDecid",435,0.0202287219961777,-0.000756265269119399,0.0210393896495124
"3049","ShrubDecid",436,0.0194119358219071,-0.000460959674197202,0.0209344650201757
"3050","ShrubDecid",437,0.0183917460266595,-0.0003461797696842,0.0204236565005698
"3051","ShrubDecid",438,0.0180981769465804,-0.000293433305488599,0.0196838023107691
"3052","ShrubDecid",439,0.0178630689523874,-0.000300474656223598,0.0193527718791968
"3053","ShrubDecid",440,0.017337398936105,-0.000253921415104899,0.0191834358671702
"3054","ShrubDecid",441,0.016853632843871,-0.000325057303420698,0.0189686689957059
"3055","ShrubDecid",442,0.0163973268041469,-0.000269509059024099,0.0184953744043225
"3056","ShrubDecid",443,0.015942714145818,-0.000388817037560798,0.0182874673749049
"3057","ShrubDecid",444,0.0157177519637513,-0.000396468320514001,0.0182298632349609
"3058","ShrubDecid",445,0.0157120621119068,-0.0003991433895753,0.0180854773119982
"3059","ShrubDecid",446,0.0156181529680174,-0.000461212036859098,0.0181382249123615
"3060","ShrubDecid",447,0.0154823659098197,-0.000394822289754602,0.0181940190403425
"3061","ShrubDecid",448,0.0155240059009937,-0.0003445208767557,0.0185597683620803
"3062","ShrubDecid",449,0.0158449907105566,-0.000274819295201699,0.0190403810633314
"3063","ShrubDecid",450,0.0163574686242592,-0.000220212770350201,0.0195197640160448
"3064","ShrubDecid",451,0.016627435242419,-0.0001953527910366,0.0199288007496621
"3065","ShrubDecid",452,0.0168285600249473,-0.0001335761323711,0.0207583547316798
"3066","ShrubDecid",453,0.0175096789380446,-8.31918626798996e-05,0.0214792887766199
"3067","ShrubDecid",454,0.0171586387221672,-2.98013597309008e-05,0.021559458190742
"3068","ShrubDecid",455,0.0166596168337747,-3.35560538533008e-05,0.0216716714896873
"3069","ShrubDecid",456,0.016367156519747,-2.12840206529827e-06,0.0212127191957211
"3070","ShrubDecid",457,0.0161010353710271,3.03909738223994e-05,0.0209803917588077
"3071","ShrubDecid",458,0.0158849184588547,7.2429184226501e-05,0.0207474643625231
"3072","ShrubDecid",459,0.0156880582205526,8.93527690323977e-05,0.0207026730562259
"3073","ShrubDecid",460,0.0156723374623866,0.000132548762360699,0.0203737477066397
"3074","ShrubDecid",461,0.0154806092498371,0.0001151028028369,0.0200924177825408
"3075","ShrubDecid",462,0.0151717064485241,-3.69188691574027e-05,0.019905400845274
"3076","ShrubDecid",463,0.0147694984138939,-0.000452186500540498,0.0197514007816447
"3077","ShrubDecid",464,0.014435542352396,-0.000446052527566701,0.0193121207249662
"3078","ShrubDecid",465,0.0142417525399042,-0.000426473124596202,0.0188508839317473
"3079","ShrubDecid",466,0.0140748859021107,-0.0004227331713819,0.0186867655893709
"3080","ShrubDecid",467,0.0138861597148263,-0.0004477401625568,0.0186416261365417
"3081","ShrubDecid",468,0.0135863410826234,-0.000505707754909299,0.0184782079512985
"3082","ShrubDecid",469,0.0135690144794372,-0.000494223181532499,0.0181789327782549
"3083","ShrubDecid",470,0.0134983061831503,-0.000507116628828099,0.0182804547855633
"3084","ShrubDecid",471,0.0137121179061684,-0.0004976996005863,0.0183854306658962
"3085","ShrubDecid",472,0.0137437719793543,-0.000525592876230399,0.0182095229376668
"3086","ShrubDecid",473,0.0135359449919585,-0.000552015339132999,0.0182433949383892
