Site,Measurement_Date,Spectra_Name,Sample_ID,USDA_Species_Code,Spectrometer_GPS_Lat,Spectrometer_GPS_Long,Measurement_Time_UTC,Instrument,Foreoptic,Collection_Units,Spectra_Units,Spectra_Type,Reflectance_Type,White_Reference_Standard,Spectral_Resolution,Interpolation_Method,Overlap_Handling,Overlap_Removal,Overlap_Matching_Type
Barrow (Utqiagvik) Environmental Observatory,20150711,1581,BNL1581,CAAQ,71.27536333,-156.6408917,19:39,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1582,BNL1582,CAAQ,71.27568333,-156.6418433,20:40,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1583,BNL1583,CAAQ,71.27547833,-156.6416067,22:00,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1584,BNL1584,CAAQ,71.27544833,-156.642145,20:47,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1585,BNL1585,CAAQ,71.275415,-156.641565,21:01,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1586,BNL1586,CAAQ,71.27533667,-156.6409,19:52,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1587,BNL1587,CAAQ,71.27566333,-156.6418383,23:08,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1588,BNL1588,CAAQ,71.27544167,-156.6414767,22:42,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1589,BNL1589,CAAQ,71.275475,-156.6422817,22:54,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
Barrow (Utqiagvik) Environmental Observatory,20150711,1590,BNL1590,CAAQ,71.275425,-156.6415633,22:31,SVC_HR-1024i,8deg,Radiance,Percent_Reflectance_0_100,Canopy,Spectralon_Corrected,99AA07-0215-1466 SRT-99-100,1nm,Linear,Removed,Post_processing,Radiance
