"","Functional_group1","Functional_group1_wN","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance","Source"
"130","Abiotic","Abiotic (n= 94 scans, 5 species)",1129,32.69455,72.2352,14.2589,65.6938875,18.135,68.3838,15.643085,"Ground"
"131","Abiotic","Abiotic (n= 94 scans, 5 species)",1130,32.73855,72.2117,14.2574,65.6806125,18.1744,68.3679,15.648275,"Ground"
"132","Abiotic","Abiotic (n= 94 scans, 5 species)",1131,32.7796,72.1846,14.2549,65.663,18.1753,68.35,15.65124,"Ground"
"133","Abiotic","Abiotic (n= 94 scans, 5 species)",1132,32.816,72.1531,14.2507,65.639725,18.1726,68.3289,15.65078,"Ground"
"134","Abiotic","Abiotic (n= 94 scans, 5 species)",1133,32.84945,72.118,14.2452,65.612275,18.1674,68.3054,15.64796,"Ground"
"135","Abiotic","Abiotic (n= 94 scans, 5 species)",1134,32.88235,72.0804,14.2396,65.5823375,18.1613,68.2818,15.644615,"Ground"
"136","Abiotic","Abiotic (n= 94 scans, 5 species)",1135,32.9173,72.0414,14.2352,65.5518,18.1555,68.2605,15.64254,"Ground"
"137","Abiotic","Abiotic (n= 94 scans, 5 species)",1136,32.9554,71.9999,14.2324,65.519525,18.1499,68.2424,15.64201,"Ground"
"138","Abiotic","Abiotic (n= 94 scans, 5 species)",1137,32.9949,71.9562,14.2306,65.4855375,18.1442,68.2259,15.64219,"Ground"
"139","Abiotic","Abiotic (n= 94 scans, 5 species)",1138,33.0337,71.9124,14.2284,65.451725,18.1383,68.2097,15.64253,"Ground"
"140","Abiotic","Abiotic (n= 94 scans, 5 species)",1139,33.06995,71.8707,14.2247,65.42005,18.1325,68.1925,15.64269,"Ground"
"141","Abiotic","Abiotic (n= 94 scans, 5 species)",1140,33.10365,71.8309,14.2193,65.391125,18.1265,68.176,15.6428,"Ground"
"142","Abiotic","Abiotic (n= 94 scans, 5 species)",1141,33.13585,71.7919,14.2132,65.3632125,18.1204,68.1591,15.64297,"Ground"
"143","Abiotic","Abiotic (n= 94 scans, 5 species)",1142,33.16735,71.7533,14.2071,65.3342875,18.1147,68.1397,15.642935,"Ground"
"144","Abiotic","Abiotic (n= 94 scans, 5 species)",1143,33.1988,71.714,14.2019,65.3020875,18.1094,68.1153,15.64257,"Ground"
"145","Abiotic","Abiotic (n= 94 scans, 5 species)",1144,33.2293,71.6731,14.1968,65.2644625,18.1041,68.0834,15.6412,"Ground"
"146","Abiotic","Abiotic (n= 94 scans, 5 species)",1145,33.25945,71.6326,14.1921,65.2259625,18.0992,68.0491,15.639865,"Ground"
"147","Abiotic","Abiotic (n= 94 scans, 5 species)",1146,33.29,71.5953,14.1888,65.1918375,18.0958,68.0185,15.64426,"Ground"
"148","Abiotic","Abiotic (n= 94 scans, 5 species)",1147,33.32165,71.5634,14.1876,65.16645,18.0944,67.9963,15.65098,"Ground"
"149","Abiotic","Abiotic (n= 94 scans, 5 species)",1148,33.35395,71.5357,14.1887,65.14765,18.0951,67.9798,15.65958,"Ground"
"150","Abiotic","Abiotic (n= 94 scans, 5 species)",1149,33.38675,71.5113,14.1908,65.133275,18.0969,67.9673,15.668945,"Ground"
"151","Abiotic","Abiotic (n= 94 scans, 5 species)",1150,33.41995,71.4898,14.1927,65.121475,18.0991,67.9573,15.67803,"Ground"
