source,outliers,preprocessing,weight,model_id
grd_indices_only.csv,clip,standard,balanced,29d00c2b-4845-4b6d-9ea2-83d99eabb7a4
grd_indices_only.csv,clip,standard,no_treatment,4f79905b-a015-47ec-b501-e0e0bbcf0520
grd_indices_only.csv,clip,standard,posterior,822f8b24-9517-4d1d-af56-8e7680510e4f
grd_indices_only.csv,clip,no_treatment,balanced,8c86b432-838b-4d5c-b312-1be256290be8
grd_indices_only.csv,clip,no_treatment,no_treatment,25539dd6-fa72-4d1b-84f6-2b41c9950094
grd_indices_only.csv,clip,no_treatment,posterior,63035378-96b8-4a6b-81b9-3db068cfe6ed
grd_indices_only.csv,no_treatment,min_max,balanced,43a11291-ab2a-41a1-a3d8-45f419cf3139
grd_indices_only.csv,no_treatment,min_max,no_treatment,bf751121-5516-4bed-940c-f13f461699e5
grd_indices_only.csv,no_treatment,min_max,posterior,a379c8ac-3142-4ad1-aab9-bc374092cc9d
grd_indices_only.csv,no_treatment,robust,balanced,aecba550-7d2b-46a5-b116-9dbb7e721423
grd_indices_only.csv,no_treatment,robust,no_treatment,73d301f3-51be-426a-afd3-63014f0005ba
grd_indices_only.csv,no_treatment,robust,posterior,64601ff0-699f-4850-966f-b83f96bcf65a
grd_indices_only.csv,no_treatment,standard,balanced,4f88fb3e-69bc-44f9-aabf-b41aa43749f1
grd_indices_only.csv,no_treatment,standard,no_treatment,e94202b0-c7ea-4b96-a638-36d1215a7a65
grd_indices_only.csv,no_treatment,standard,posterior,06e939ea-50fb-4ea3-884b-2c4d3cdef9d7
grd_indices_only.csv,no_treatment,no_treatment,balanced,8c9a499f-94f8-4b90-a14d-140e7115122f
grd_indices_only.csv,no_treatment,no_treatment,no_treatment,75be7098-ee5a-4db7-ad0d-30532ba14d10
grd_indices_only.csv,no_treatment,no_treatment,posterior,6c975769-37b0-4eb5-aff1-1567a8e454ef
grd_raw_raw.csv,no_treatment,no_treatment,no_treatment,65cbcc51-a723-445a-8f2c-bacc27f3d82c
