"ScanID","PFT","PFT_2","PFT_3","PFT_4","Area","PFT2_Freq","PFT3_Freq","PFT4_Freq","450","520","630","770","1550","2090"
"108","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.059213,0.104924,0.071567,0.80957,0.428509,0.260096
"87","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.073562,0.130313,0.098688,0.748339,0.445911,0.279718
"92","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.070872,0.110408,0.088875,0.680209,0.378702,0.224356
"111","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.065584,0.125068,0.087309,0.767246,0.516652,0.340203
"91","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.079172,0.120879,0.095965,0.696634,0.416467,0.253085
"110","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.066486,0.117828,0.079219,0.724988,0.476079,0.306728
"78","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.078888,0.117996,0.084941,0.764468,0.446646,0.27017
"85","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.067413,0.111715,0.077383,0.64542,0.369695,0.225127
"99","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.068353,0.104551,0.081329,0.769445,0.394957,0.236664
"88","dryhyb","Dryas sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",43,971,992,0.070545,0.137938,0.086996,0.790613,0.420099,0.256038
"125","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",3,971,992,0.036319,0.05161,0.050768,0.349445,0.144709,0.083628
"123","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",3,971,992,0.087349,0.187507,0.191502,0.647437,0.323822,0.209198
"124","loipro","Loisleuria procumbens","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",3,971,992,0.045287,0.078711,0.071534,0.592042,0.184322,0.09709
"rubcam_Beth004","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.030669,0.046284,0.037217,0.426168,0.216254,0.122862
"rubcam_Beth001","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.036588,0.049846,0.044334,0.441587,0.236875,0.136891
"rubcam_Beth002","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.041243,0.052385,0.049808,0.427691,0.215307,0.124223
"rubcha_Beth004","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.040458,0.040901,0.052891,0.468683,0.253322,0.149206
"rubcha_Brooks003","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Brooks_Range",12,971,992,0.043278,0.062934,0.055737,0.440388,0.236296,0.143677
"rubcha_Beth001","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.032459,0.04214,0.037673,0.464022,0.240777,0.135866
"rubcha_Beth002","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.038328,0.03688,0.050639,0.468494,0.247851,0.146629
"rubcha_Brooks002","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Brooks_Range",12,971,992,0.04743,0.074316,0.05917,0.457642,0.254349,0.155081
"rubcha_Beth003","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.04295,0.060466,0.054091,0.513106,0.243014,0.14415
"rubcam_Beth003","rubcam","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",12,971,992,0.049818,0.06769,0.056904,0.459865,0.25473,0.15586
"rubcha_Brooks001","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Brooks_Range",12,971,992,0.043988,0.066216,0.053282,0.453986,0.240372,0.143762
"rubcha_Brooks004","rubcha","Rubus sp.","Dwarf_Shrub_Broad","Dwarf Shrub","Brooks_Range",12,971,992,0.050268,0.067379,0.060334,0.448627,0.239213,0.144568
"67","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.070633,0.094225,0.077473,0.603818,0.339954,0.21348
"73","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.075152,0.100433,0.070932,0.707934,0.355741,0.213799
"70","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.070815,0.094001,0.079601,0.568621,0.333589,0.218058
"68","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.072731,0.084969,0.065721,0.708736,0.324176,0.185115
"65","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.069833,0.087387,0.069663,0.685695,0.345464,0.204322
"66","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.07232,0.097217,0.079102,0.613568,0.340746,0.212696
"71","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.075037,0.094589,0.087354,0.573929,0.326154,0.209391
"72","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.074831,0.093797,0.087264,0.572361,0.327275,0.210423
"64","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.069578,0.089618,0.064945,0.528359,0.302609,0.189373
"69","vaculi","Vaccinium uliginosum","Dwarf_Shrub_Broad","Dwarf Shrub","12mile",10,971,992,0.064792,0.084538,0.077749,0.387455,0.229855,0.156765
"24","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.045008,0.07088,0.057677,0.520361,0.282913,0.157708
"19","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.057204,0.092798,0.08227,0.593311,0.32918,0.198689
"21","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.052544,0.084248,0.075996,0.578113,0.292966,0.170136
"17","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.055177,0.105607,0.082494,0.706491,0.329956,0.197706
"20","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.051194,0.087903,0.066402,0.676449,0.331226,0.192276
"16","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.035355,0.054554,0.047025,0.365259,0.213403,0.125067
"23","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.050558,0.090827,0.07371,0.689744,0.326747,0.187548
"18","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.054619,0.082139,0.081054,0.504818,0.278875,0.163178
"22","castet","Cassiope tetragona","Dwarf_Shrub_Needle","Dwarf Shrub","12mile",9,21,992,0.051188,0.093108,0.074405,0.650842,0.333673,0.194838
"empnig_Beth002","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.047834,0.114964,0.113252,0.517696,0.252682,0.146063
"empnig_Brooks003","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Brooks_Range",12,21,992,0.026089,0.071571,0.074503,0.449884,0.160422,0.094005
"empnig_Beth004","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.022536,0.05356,0.057728,0.374713,0.136422,0.075135
"empnig_Brooks004","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Brooks_Range",12,21,992,0.025894,0.050664,0.083672,0.426079,0.163775,0.101264
"empnig_Beth003","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.05109,0.128671,0.112563,0.603028,0.249075,0.147298
"empnig_Beth002","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.043599,0.107213,0.117536,0.600507,0.211073,0.118662
"empnig_Beth001","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.037325,0.056324,0.134295,0.382729,0.279547,0.176343
"empnig_Beth001","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Bethel",12,21,992,0.041512,0.092766,0.085033,0.539795,0.217744,0.125724
"empnig_Brooks001","empnig","Empetrum nigrum","Dwarf_Shrub_Needle","Dwarf Shrub","Brooks_Range",12,21,992,0.033012,0.070965,0.07449,0.574154,0.207653,0.122217
