"","Functional_group1","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance"
"229","Abiotic",1228,35.4178,71.2947,13.9639,65.5059125,18.1979,67.8515,16.03991
"230","Abiotic",1229,35.4382,71.2882,13.9587,65.5104875,18.1928,67.8443,16.04162
"231","Abiotic",1230,35.4605,71.2821,13.9542,65.5162875,18.1899,67.8385,16.04459
"232","Abiotic",1231,35.48575,71.2797,13.9519,65.5244875,18.194,67.837,16.0533
"233","Abiotic",1232,35.516,71.281,13.9526,65.53645,18.205,67.84,16.0701
"234","Abiotic",1233,35.5484,71.2842,13.9546,65.550025,18.2143,67.8456,16.0883
"235","Abiotic",1234,35.5788,71.2876,13.9556,65.56225,18.2209,67.8518,16.1041
"236","Abiotic",1235,35.60345,71.2898,13.9535,65.5706,18.222,67.8573,16.1142
"237","Abiotic",1236,35.6233,71.2914,13.9488,65.57575,18.2181,67.8632,16.1185
"238","Abiotic",1237,35.64065,71.2929,13.9429,65.5792125,18.212,67.8691,16.1204
"239","Abiotic",1238,35.6578,71.2948,13.9372,65.582325,18.2061,67.8738,16.1233
"240","Abiotic",1239,35.6761,71.2974,13.9324,65.586125,18.202,67.8767,16.1295
"241","Abiotic",1240,35.69405,71.3006,13.9274,65.589925,18.1979,67.8781,16.1369
"242","Abiotic",1241,35.71935,71.3039,13.923,65.593225,18.1947,67.8786,16.1455
"243","Abiotic",1242,35.7518,71.3068,13.9201,65.5951375,18.1929,67.8786,16.1555
"244","Abiotic",1243,35.78795,71.3092,13.9199,65.59505,18.194,67.8779,16.1678
"245","Abiotic",1244,35.827,71.3114,13.9218,65.593225,18.1973,67.8764,16.1823
"246","Abiotic",1245,35.86585,71.313,13.9236,65.5912,18.2005,67.8749,16.1966
"247","Abiotic",1246,35.90165,71.3137,13.923,65.5903375,18.2011,67.8743,16.2079
"248","Abiotic",1247,35.93345,71.3143,13.9195,65.5937625,18.1982,67.9339,16.2155
"249","Abiotic",1248,35.963,71.3144,13.9143,65.5992625,18.1934,68.0131,16.2209
"250","Abiotic",1249,35.9917,71.3124,13.9084,65.6036375,18.188,68.0908,16.2256
"251","Abiotic",1250,36.0209,71.3067,13.9029,65.6059125,18.1831,68.165,16.231
"252","Abiotic",1251,36.0507,71.2969,13.8974,65.6064,18.1784,68.2364,16.237
"253","Abiotic",1252,36.0802,71.2843,13.8917,65.6052125,18.1737,68.3053,16.2429
"254","Abiotic",1253,36.1087,71.2703,13.8858,65.602525,18.1689,68.3714,16.2485
"255","Abiotic",1254,36.1353,71.2555,13.8798,65.597975,18.164,68.4339,16.2534
"256","Abiotic",1255,36.1595,71.2378,13.8732,65.5906375,18.1585,68.4919,16.2573
"257","Abiotic",1256,36.183,71.2197,13.8665,65.58215,18.1531,68.5474,16.261
"258","Abiotic",1257,36.2077,71.2045,13.8604,65.574625,18.1489,68.6031,16.2655
"259","Abiotic",1258,36.235,71.1945,13.8551,65.5690625,18.1467,68.6606,16.2713
"260","Abiotic",1259,36.264,71.1884,13.85,65.5643625,18.1462,68.7185,16.2781
"261","Abiotic",1260,36.29405,71.1846,13.8458,65.560875,18.1464,68.7764,16.2855
"262","Abiotic",1261,36.32465,71.1821,13.8429,65.55915,18.1466,68.8342,16.2936
"263","Abiotic",1262,36.3562,71.1806,13.8423,65.5596,18.1462,68.8924,16.3027
"264","Abiotic",1263,36.3888,71.1809,13.8436,65.561875,18.146,68.9513,16.3129
"265","Abiotic",1264,36.4212,71.1819,13.8451,65.5656,18.1456,69.0086,16.3229
"266","Abiotic",1265,36.4519,71.1824,13.8455,65.570425,18.1452,69.0623,16.3316
"267","Abiotic",1266,36.4802,71.1831,13.8444,65.5768875,18.1442,69.112,16.3388
"268","Abiotic",1267,36.50705,71.1839,13.8426,65.5848,18.1431,69.1587,16.345
"269","Abiotic",1268,36.53415,71.1838,13.8406,65.592725,18.1424,69.203,16.3507
"270","Abiotic",1269,36.5631,71.1821,13.8389,65.5993875,18.143,69.2455,16.3561
"271","Abiotic",1270,36.5946,71.1787,13.838,65.605475,18.1453,69.2862,16.361
"272","Abiotic",1271,36.627,71.1742,13.837,65.611,18.1484,69.3248,16.3654
"273","Abiotic",1272,36.658,71.1685,13.8352,65.6154375,18.1507,69.3611,16.37
"274","Abiotic",1273,36.6856,71.1621,13.8316,65.6185875,18.1511,69.3948,16.3751
"275","Abiotic",1274,36.70995,71.155,13.8264,65.621175,18.1502,69.4262,16.3808
"276","Abiotic",1275,36.7329,71.1468,13.8203,65.6224125,18.1483,69.4551,16.3867
"277","Abiotic",1276,36.7564,71.1367,13.8139,65.6211375,18.1455,69.4815,16.392
"278","Abiotic",1277,36.78165,71.1245,13.8075,65.6165875,18.142,69.505,16.3965
"279","Abiotic",1278,36.80745,71.1106,13.8006,65.60895,18.1375,69.5257,16.4006
"280","Abiotic",1279,36.834,71.0947,13.7937,65.599225,18.1323,69.544,16.4041
"281","Abiotic",1280,36.8616,71.0765,13.7874,65.588325,18.1268,69.5603,16.4067
"282","Abiotic",1281,36.8909,71.0554,13.7819,65.576175,18.121,69.5754,16.408
"283","Abiotic",1282,36.92185,71.0316,13.777,65.5623875,18.1146,69.5889,16.4083
"284","Abiotic",1283,36.95275,71.0066,13.7722,65.54775,18.1081,69.5994,16.4082
"285","Abiotic",1284,36.9822,70.9821,13.7667,65.533075,18.0953,69.6056,16.4082
"286","Abiotic",1285,37.0094,70.9576,13.7599,65.5183875,18.082,69.6067,16.4076
"287","Abiotic",1286,37.0356,70.9329,13.7527,65.5033,18.0686,69.6041,16.407
"288","Abiotic",1287,37.06285,70.9087,13.7466,65.4878625,18.0554,69.5997,16.4071
"289","Abiotic",1288,37.0928,70.8856,13.7431,65.472125,18.0429,69.5953,16.409
